park_name,park_unit,water_system_name,alternative_name,classification,pws_number,source_type,source_longitude,source_latitude,geometry,PWS_NAME,PWS_TYPE_CODE,POPULATION_SERVED_COUNT,POP_CAT_2_CODE,POP_CAT_3_CODE,POP_CAT_4_CODE,POP_CAT_5_CODE,POP_CAT_11_CODE,POP_CAT_2_DESC,POP_CAT_3_DESC,POP_CAT_4_DESC,POP_CAT_5_DESC,POP_CAT_11_DESC
Abraham Lincoln Birthplace National Historical Park,ABLI,Birthplace Water Distribution System,Larue County Water District,Community Water System (CWS),KY0620237,municipal,-85.740158,37.553308,"c(-85.740158, 37.553308)",LARUE COUNTY WATER DISTRICT #1,CWS,9062,1,2,1,3,5,"<10,000","3,301-50,000",<10K,"3,301-10,000","3,301-10,000"
Abraham Lincoln Birthplace National Historical Park,ABLI,Birthplace Water Distribution System,Larue County Water District,Community Water System (CWS),KY0900312,municipal,-85.740158,37.553308,"c(-85.740158, 37.553308)",NEW HAVEN MUNICIPAL WATER WORKS,CWS,1357,1,1,1,2,4,"<10,000","<=3,300",<10K,"501-3,300","1,001-3,300"
Abraham Lincoln Birthplace National Historical Park,ABLI,Knob Creek Water Dist Sys,NA,Non-Potable (NonPOT),NA,unknown groundwater,-85.638403,37.611476,"c(-85.638403, 37.611476)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Acadia National Park,ACAD,Harden Farm Municipal Water System,NA,Community Water System (CWS),ME0090120,municipal,-68.2109,44.389164,"c(-68.2109, 44.389164)",TOWN OF BAR HARBOR- WATER DIVISION,CWS,4443,1,2,1,3,5,"<10,000","3,301-50,000",<10K,"3,301-10,000","3,301-10,000"
Acadia National Park,ACAD,Mt. Desert Island Municipal Water System,NA,Community Water System (CWS),ME0091140,municipal,-68.287156,44.294306,"c(-68.287156, 44.294306)",MOUNT DESERT WATER DIST NORTH,CWS,1623,1,1,1,2,4,"<10,000","<=3,300",<10K,"501-3,300","1,001-3,300"
Acadia National Park,ACAD,Seawall Campground and Picnic Area Municipal Water System,NA,Community Water System (CWS),ME0091490,municipal,-68.327153,44.27967,"c(-68.327153, 44.27967)",SOUTHWEST HARBOR WATER & SEWER DISTRICT,CWS,2480,1,1,1,2,4,"<10,000","<=3,300",<10K,"501-3,300","1,001-3,300"
Acadia National Park,ACAD,Bird Camp,NA,Non-Public Water System (NP),98583,unknown groundwater,-68.055979,44.344945,"c(-68.055979, 44.344945)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acadia National Park,ACAD,Jordan Pond House Restaurant,NA,Transient Non-Community Water System (TNC),ME0014012,unknown groundwater,-68.25369,44.32052,"c(-68.25369, 44.32052)",US NPS JORDAN POND HSE (18),TNCWS,888,1,1,1,2,3,"<10,000","<=3,300",<10K,"501-3,300","501-1,000"
Acadia National Park,ACAD,Schoodic Woods Campground,NA,Transient Non-Community Water System (TNC),ME0092501,unknown groundwater,-68.066172,44.383399,"c(-68.066172, 44.383399)",US NPS SCHOODIC WOODS CAMPGROUND,TNCWS,264,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500
Acadia National Park,ACAD,Schoodic Institute,NA,Non-Transient Non-Community Water System (NTNC),ME0098549,unknown groundwater,-68.05913,44.33608,"c(-68.05913, 44.33608)",US NPS ACADIA NATL PK-SCHOODIC FACILITY,NTNCWS,35,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
Acadia National Park,ACAD,Sieur De Mont,NA,Transient Non-Community Water System (TNC),ME0098565,deep groundwater,-68.2072,44.36281,"c(-68.2072, 44.36281)",US NPS SIEUR DE MONTS (2),TNCWS,500,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500
Acadia National Park,ACAD,Cadillac Mountain,NA,Transient Non-Community Water System (TNC),ME0098566,unknown groundwater,-68.226059,44.352344,"c(-68.226059, 44.352344)",US NPS CADILLAC MTN (8),TNCWS,500,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500
Acadia National Park,ACAD,Frazer Point,NA,Transient Non-Community Water System (TNC),ME0098567,unknown groundwater,-68.07514,44.37467,"c(-68.07514, 44.37467)",US NPS FRAZER POINT (3),TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
Acadia National Park,ACAD,Echo Lake,NA,Transient Non-Community Water System (TNC),ME0098572,deep groundwater,-68.33611,44.31528,"c(-68.33611, 44.31528)",US NPS ECHO LAKE (12),TNCWS,250,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500
Acadia National Park,ACAD,Jordan Pond Dorm,NA,Non-Transient Non-Community Water System (NTNC),ME0098573,unknown groundwater,-68.253384,44.320806,"c(-68.253384, 44.320806)",US NPS ACADIA NATL PARK HQ,NTNCWS,120,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500
Acadia National Park,ACAD,McFarland Hill,NA,Non-Transient Non-Community Water System (NTNC),ME0098573,unknown groundwater,-68.259254,44.374459,"c(-68.259254, 44.374459)",US NPS ACADIA NATL PARK HQ,NTNCWS,120,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500
Acadia National Park,ACAD,Islesford,NA,Transient Non-Community Water System (TNC),ME0098581,unknown groundwater,-68.23976,44.26164,"c(-68.23976, 44.26164)",US NPS ISLESFORD MUSEUM (19),TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
Acadia National Park,ACAD,Fabbri,NA,Transient Non-Community Water System (TNC),ME0098582,unknown groundwater,-68.19504,44.31425,"c(-68.19504, 44.31425)",US NPS FABBRI MEMORIAL (14),TNCWS,100,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
Acadia National Park,ACAD,Isle au Haut Ranger Station,NA,Transient Non-Community Water System (TNC),ME0098590,shallow groundwater,-68.64141,44.06952,"c(-68.64141, 44.06952)",US NPS ISLE AU HAUT RANGER STATION,TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
Acadia National Park,ACAD,Thompson Island,NA,Transient Non-Community Water System (TNC),ME0198570,shallow groundwater,-68.36475,44.42662,"c(-68.36475, 44.42662)",US NPS THOMPSON ISL PARK (11),TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
Acadia National Park,ACAD,Thompson Island,NA,Transient Non-Community Water System (TNC),ME0198570,shallow groundwater,-68.36475,44.42662,"c(-68.36475, 44.42662)",US NPS THOMPSON ISL PARK (11),TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
Acadia National Park,ACAD,Bass Harbor Light Station,NA,Non-Public Water System (NP),NA,shallow groundwater,-68.3373,44.22197,"c(-68.3373, 44.22197)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
