park_name,park_unit,water_system_name,alternative_name,classification,pws_number,source_type,source_longitude,source_latitude,geometry,PWS_NAME,PWS_TYPE_CODE,POPULATION_SERVED_COUNT,POP_CAT_2_CODE,POP_CAT_3_CODE,POP_CAT_4_CODE,POP_CAT_5_CODE,POP_CAT_11_CODE,POP_CAT_2_DESC,POP_CAT_3_DESC,POP_CAT_4_DESC,POP_CAT_5_DESC,POP_CAT_11_DESC,Avg_Annual_Visits_5Yr
Abraham Lincoln Birthplace National Historical Park,ABLI,Knob Creek Water Dist Sys,NA,Non-Potable (NonPOT),NA,unknown groundwater,-85.638403,37.611476,"c(-85.638403, 37.611476)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,243782
Acadia National Park,ACAD,Bird Camp,NA,Non-Public Water System (NP),98583,unknown groundwater,-68.055979,44.344945,"c(-68.055979, 44.344945)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4039145.4
Acadia National Park,ACAD,Jordan Pond House Restaurant,NA,Transient Non-Community Water System (TNC),ME0014012,unknown groundwater,-68.25369,44.32052,"c(-68.25369, 44.32052)",US NPS JORDAN POND HSE (18),TNCWS,888,1,1,1,2,3,"<10,000","<=3,300",<10K,"501-3,300","501-1,000",4039145.4
Acadia National Park,ACAD,Schoodic Woods Campground,NA,Transient Non-Community Water System (TNC),ME0092501,unknown groundwater,-68.066172,44.383399,"c(-68.066172, 44.383399)",US NPS SCHOODIC WOODS CAMPGROUND,TNCWS,264,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500,4039145.4
Acadia National Park,ACAD,Schoodic Institute,NA,Non-Transient Non-Community Water System (NTNC),ME0098549,unknown groundwater,-68.05913,44.33608,"c(-68.05913, 44.33608)",US NPS ACADIA NATL PK-SCHOODIC FACILITY,NTNCWS,35,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,4039145.4
Acadia National Park,ACAD,Sieur De Mont,NA,Transient Non-Community Water System (TNC),ME0098565,deep groundwater,-68.2072,44.36281,"c(-68.2072, 44.36281)",US NPS SIEUR DE MONTS (2),TNCWS,500,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500,4039145.4
Acadia National Park,ACAD,Cadillac Mountain,NA,Transient Non-Community Water System (TNC),ME0098566,unknown groundwater,-68.226059,44.352344,"c(-68.226059, 44.352344)",US NPS CADILLAC MTN (8),TNCWS,500,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500,4039145.4
Acadia National Park,ACAD,Frazer Point,NA,Transient Non-Community Water System (TNC),ME0098567,unknown groundwater,-68.07514,44.37467,"c(-68.07514, 44.37467)",US NPS FRAZER POINT (3),TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,4039145.4
Acadia National Park,ACAD,Echo Lake,NA,Transient Non-Community Water System (TNC),ME0098572,deep groundwater,-68.33611,44.31528,"c(-68.33611, 44.31528)",US NPS ECHO LAKE (12),TNCWS,250,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500,4039145.4
Acadia National Park,ACAD,Jordan Pond Dorm,NA,Non-Transient Non-Community Water System (NTNC),ME0098573,unknown groundwater,-68.253384,44.320806,"c(-68.253384, 44.320806)",US NPS ACADIA NATL PARK HQ,NTNCWS,120,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500,4039145.4
